i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
16,8403,200,43559,217.7953337809369,600.5883876319367
13,8634,280,8099,28.925465497599983,412.5498377907281
13,8634,1506,8099,5.378239999999998,539.6216015386908
22,9846,1076,1076,1,457.17632684441844
39,9909,2108,73,0.03457161303360779,242.0478911680775
13,8634,119526,4132,0.03457161303360779,740.9112272660936
16,8403,280,60983,217.7953337809369,606.8469914520141
13,8634,392,11339,28.925465497599983,448.50906271411776
13,8634,2108,11339,5.378239999999998,589.7038165616025
22,9846,1506,1506,1,537.3083897153258
39,9909,2952,102,0.03457161303360779,333.12750266261406
16,8403,392,85376,217.7953337809369,613.7868616049394
39,9909,31114,52,0.001673274998843728,410.36124476675997
13,8634,549,15874,28.925465497599983,487.93702528703966
13,8634,2952,15874,5.378239999999998,632.7426797826066
16,8403,549,119526,217.7953337809369,622.0449981629401
39,9909,4132,143,0.03457161303360779,428.4032423370538
22,9846,2108,2108,1,610.4515463250306
13,8634,768,22224,28.925465497599983,530.0769817482387
13,8634,4132,22224,5.378239999999998,668.0173037795978
39,9909,43559,73,0.001673274998843728,494.7734728004065
13,8634,5785,31114,5.378239999999998,695.8862256372114
39,9909,5785,200,0.03457161303360779,519.687729222837
13,8634,1076,31114,28.925465497599983,572.782075586827
22,9846,2952,2952,1,673.4247334053211
22,9846,31114,52,0.001673274998843728,60.978776207998735
39,9909,60983,102,0.001673274998843728,573.2595586345687
13,8634,8099,43559,5.378239999999998,717.3053932521264
13,8634,1506,43559,28.925465497599983,613.277384990032
39,9909,8099,280,0.03457161303360779,601.0900312407924
22,9846,43559,73,0.001673274998843728,83.53998358826952
22,9846,4132,4132,1,725.1524707193568
7,8352,200,280,1.4,142.2905908647822
39,9909,85376,143,0.001673274998843728,642.4558400340292
13,8634,11339,60983,5.378239999999998,733.4361352770062
13,8634,2108,60983,28.925465497599983,649.26795048281
7,8352,280,392,1.4,184.2544056259968
39,9909,11339,392,0.03457161303360779,669.6837349613339
22,9846,60983,102,0.001673274998843728,112.99932861123618
