i,matrix_alpha,habitat_alpha,ratio,eca
1,7276,258494,35.52713678800501,564.1199906528311
29,400,323117,807.7935669463161,534.0789453794454
45,54210,323117,5.9604644775390625,499.1785493215057
26,1526,54210,35.52713678800501,497.839300664358
1,9095,323117,35.52713678800501,567.2322054650688
45,67763,403897,5.9604644775390625,500.3127243580884
26,2384,206795,86.73617379884035,540.6731228600748
29,500,403897,807.7935669463161,539.5879995669663
26,1907,67763,35.52713678800501,517.6892336240804
1,11369,403897,35.52713678800501,569.7664574868068
26,2980,258494,86.73617379884035,556.5718413234255
26,14211,400,0.0281474976710656,401.05623183466804
26,2384,84703,35.52713678800501,536.0778561154583
26,3725,323117,86.73617379884035,570.5884657553315
26,17764,500,0.0281474976710656,437.8236089409554
26,2980,105879,35.52713678800501,552.6672106599736
26,4657,403897,86.73617379884035,582.7213544476938
26,22204,625,0.0281474976710656,470.6371155467118
26,3725,132349,35.52713678800501,567.3045624880211
26,27756,781,0.0281474976710656,499.3408786458533
26,4657,165436,35.52713678800501,579.9838565958711
26,34694,977,0.0281474976710656,524.0344566931002
26,5821,206795,35.52713678800501,590.8018122621139
26,43368,1221,0.0281474976710656,544.9878380488869
26,7276,258494,35.52713678800501,599.9179784798879
26,54210,1526,0.0281474976710656,562.5680989192202
26,9095,323117,35.52713678800501,607.5229502269522
26,67763,1907,0.0281474976710656,577.1831481578665
26,11369,403897,35.52713678800501,613.8155403649508
26,84703,2384,0.0281474976710656,589.242622736695
26,105879,2980,0.0281474976710656,599.133317820826
26,132349,3725,0.0281474976710656,607.2056824365555
26,165436,4657,0.0281474976710656,613.768069141744
13,400,14211,35.52713678800501,459.58333345438734
26,206795,5821,0.0281474976710656,619.0860157768255
26,258494,7276,0.0281474976710656,623.3845216014436
13,500,17764,35.52713678800501,484.5695289667215
29,400,206795,516.9878828456423,533.3086672302231
26,323117,9095,0.0281474976710656,626.8518952740553
29,500,258494,516.9878828456423,538.9592584752185
13,625,22204,35.52713678800501,511.0033307316013
26,403897,11369,0.0281474976710656,629.6442409461738
29,625,323117,516.9878828456423,544.6858720122132
13,781,27756,35.52713678800501,538.4124136881909
29,781,403897,516.9878828456423,550.9232480405527
13,977,34694,35.52713678800501,566.0749226868257
13,1221,43368,35.52713678800501,593.1571622868566
13,400,84703,211.75823681357508,495.13666591596643
32,400,14211,35.52713678800501,601.8885349934832
13,1526,54210,35.52713678800501,618.8742448138596
13,500,105879,211.75823681357508,515.7995644393767
13,1907,67763,35.52713678800501,642.6106414489449
32,500,17764,35.52713678800501,645.2253844631438
13,625,132349,211.75823681357508,538.4012516810318
13,2384,84703,35.52713678800501,663.9741365466026
32,625,22204,35.52713678800501,684.8183029166609
13,2980,105879,35.52713678800501,682.7914137011404
13,781,165436,211.75823681357508,562.3712169200137
39,400,400,1,150.17456590965477
13,3725,132349,35.52713678800501,699.0686747632047
13,977,206795,211.75823681357508,586.9122400812154
32,781,27756,35.52713678800501,720.2040534759512
13,4657,165436,35.52713678800501,712.9397441641007
13,1221,258494,211.75823681357508,611.1468480674282
39,500,500,1,179.28485912327582
7,400,17764,44.40892098500626,593.9152973380656
32,977,34694,35.52713678800501,751.2346116066736
13,5821,206795,35.52713678800501,724.6164933436382
13,1526,323117,211.75823681357508,634.2736109962815
7,500,22204,44.40892098500626,601.0671600565291
39,625,625,1,213.74816421088647
32,1221,43368,35.52713678800501,778.0084748365939
13,7276,258494,35.52713678800501,734.3486962950025
13,1907,403897,211.75823681357508,655.6757894650543
7,625,27756,44.40892098500626,608.8239346458654
39,781,781,1,253.78280904758702
13,9095,323117,35.52713678800501,742.39509302041
32,1526,54210,35.52713678800501,800.7957529536088
7,781,34694,44.40892098500626,617.7760405495635
13,11369,403897,35.52713678800501,749.0045921034831
7,977,43368,44.40892098500626,628.1346910543363
39,977,977,1,299.1434480001689
32,1907,67763,35.52713678800501,819.9696594953609
32,400,84703,211.75823681357508,662.6538124402648
39,400,84703,211.75823681357508,608.5254110525086
7,1221,54210,44.40892098500626,639.7070258126768
39,1221,1221,1,349.0215797628058
32,2384,84703,35.52713678800501,835.9510977708179
7,1526,67763,44.40892098500626,652.0148702144244
32,500,105879,211.75823681357508,699.279325938992
39,400,34694,86.73617379884035,589.8955433930518
39,500,105879,211.75823681357508,646.432314548732
39,1526,1526,1,402.0595926152349
7,1907,84703,44.40892098500626,664.4713333011096
32,2980,105879,35.52713678800501,849.168197282976
39,400,2384,5.9604644775390625,358.5161535203229
32,625,132349,211.75823681357508,732.0647007738585
39,500,43368,86.73617379884035,629.7836314873291
39,625,132349,211.75823681357508,681.6131518131162
7,2384,105879,44.40892098500626,676.5315280235277
39,1907,1907,1,456.5092492972224
32,3725,132349,35.52713678800501,860.029605645326
39,500,2980,5.9604644775390625,407.5428707613508
39,625,54210,86.73617379884035,666.9758795886365
7,2980,132349,44.40892098500626,687.7791331108946
32,781,165436,211.75823681357508,760.8783361727366
39,781,165436,211.75823681357508,713.5707784599232
39,400,14211,35.52713678800501,549.2842474185566
39,2384,2384,1,510.49540777586384
7,3725,165436,44.40892098500626,697.9518346045254
32,4657,165436,35.52713678800501,868.9089128529215
39,625,3725,5.9604644775390625,458.5639842977615
39,781,67763,86.73617379884035,700.8889851723569
32,977,206795,211.75823681357508,785.8008133025236
39,977,206795,211.75823681357508,742.0436124800417
39,500,17764,35.52713678800501,592.9758523720562
7,4657,206795,44.40892098500626,706.9271056754806
39,2980,2980,1,562.2936921756207
32,5821,206795,35.52713678800501,876.1372739726463
39,781,4657,5.9604644775390625,509.86221880700504
39,400,5821,14.551915228366852,471.6460047618745
39,977,84703,86.73617379884035,731.1970692516036
7,5821,258494,44.40892098500626,714.6901979461725
32,1221,258494,211.75823681357508,807.0650121529173
39,1221,258494,211.75823681357508,766.9780568904325
39,625,22204,35.52713678800501,634.2368483023349
39,3725,3725,1,610.5364881849936
32,7276,258494,35.52713678800501,882.0015938162268
39,977,5821,5.9604644775390625,559.751995465995
7,7276,323117,44.40892098500626,721.2992738603892
26,400,500,1.25,166.09479180281156
39,500,7276,14.551915228366852,520.1820505161708
39,1221,105879,86.73617379884035,757.804772409824
32,1526,323117,211.75823681357508,824.9991247541662
39,1526,323117,211.75823681357508,788.4864945206433
26,500,625,1.25,188.5992824409136
39,781,27756,35.52713678800501,672.2545758275339
7,9095,403897,44.40892098500626,726.8553227388428
39,4657,4657,1,654.3087438196538
39,1221,7276,5.9604644775390625,606.8032395439162
32,9095,323117,35.52713678800501,886.7461759662729
26,625,781,1.25,212.7233286071966
39,625,9095,14.551915228366852,567.5781757194484
39,1907,403897,211.75823681357508,806.7994133396815
39,1526,132349,86.73617379884035,780.8027604384972
32,1907,403897,211.75823681357508,839.9786437504247
26,781,977,1.25,238.6466017828286
